充电量,放电量,日期,时间段
7.752934,1047.564661,2025-03-20,0:00-4:00
723.137543,5837.504773,2025-03-20,4:00-8:00
691.972515,0.0,2025-03-20,8:00-12:00
4388.636883,254.722783,2025-03-20,12:00-16:00
452.311224,4724.905777,2025-03-20,16:00-20:00
7138.375289,70.12517,2025-03-20,20:00-24:00
8119.186672,,2025-03-20,0:00储电量
8260.458434,,2025-03-20,24:00储电量
1999.891922,0.0,2025-06-21,0:00-4:00
1370.509325,3369.614966,2025-06-21,4:00-8:00
3474.938582,877.153031,2025-06-21,8:00-12:00
2985.601111,471.065534,2025-06-21,12:00-16:00
28.33875,4072.73783,2025-06-21,16:00-20:00
2895.918975,2495.200715,2025-06-21,20:00-24:00
6182.757568,,2025-06-21,0:00储电量
6398.209481,,2025-06-21,24:00储电量
2187.720613,334.181286,2025-09-23,0:00-4:00
1429.162495,3498.759469,2025-09-23,4:00-8:00
1912.524,0.0,2025-09-23,8:00-12:00
6892.049105,753.660427,2025-09-23,12:00-16:00
757.822682,5484.199607,2025-09-23,16:00-20:00
883.364808,2497.996662,2025-09-23,20:00-24:00
1841.939952,,2025-09-23,0:00储电量
1939.253154,,2025-09-23,24:00储电量
3.783421,1226.46143,2025-12-21,0:00-4:00
0.0,5375.653288,2025-12-21,4:00-8:00
3212.509433,2041.29036,2025-12-21,8:00-12:00
6327.918827,3456.107446,2025-12-21,12:00-16:00
245.425331,5351.160786,2025-12-21,16:00-20:00
7121.003607,113.743744,2025-12-21,20:00-24:00
10800.0,,2025-12-21,0:00储电量
8194.621669,,2025-12-21,24:00储电量
