日期,时间段,购电量
2025-03-20,10:00-10:10,45.207083
2025-03-20,12:00-12:10,466.999729
2025-03-20,14:00-14:10,0.0
2025-03-20,16:00-16:10,656.076829
2025-03-20,18:00-18:10,635.624702
2025-03-20,20:00-20:10,0.0
2025-03-20,全天购电量,66597.746472
2025-03-20,全天购电费,77667.885579
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,420.196936
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,562.897443
2025-06-21,18:00-18:10,759.078576
2025-06-21,20:00-20:10,26.107976
2025-06-21,全天购电量,53838.262003
2025-06-21,全天购电费,34859.79775
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,360.245257
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,731.645081
2025-09-23,18:00-18:10,734.296667
2025-09-23,20:00-20:10,61.911667
2025-09-23,全天购电量,67218.981396
2025-09-23,全天购电费,72955.944883
2025-12-21,10:00-10:10,360.307083
2025-12-21,12:00-12:10,887.183595
2025-12-21,14:00-14:10,468.898476
2025-12-21,16:00-16:10,1092.152682
2025-12-21,18:00-18:10,641.204405
2025-12-21,20:00-20:10,30.268333
2025-12-21,全天购电量,91370.308423
2025-12-21,全天购电费,104048.024869
