充电量,放电量,日期,时间段
7.752934,1047.564661,2025-03-20,0:00-4:00
719.027949,5837.504773,2025-03-20,4:00-8:00
1251.74883,0.0,2025-03-20,8:00-12:00
7558.357547,509.191761,2025-03-20,12:00-16:00
364.657224,5497.084025,2025-03-20,16:00-20:00
6991.297463,2324.346078,2025-03-20,20:00-24:00
8123.296266,,2025-03-20,0:00储电量
8109.814549,,2025-03-20,24:00储电量
0.0,0.0,2025-06-21,0:00-4:00
107.165979,5475.350832,2025-06-21,4:00-8:00
3529.421116,877.153031,2025-06-21,8:00-12:00
3916.817931,471.065534,2025-06-21,12:00-16:00
28.33875,3712.775596,2025-06-21,16:00-20:00
7297.751458,2855.200715,2025-06-21,20:00-24:00
10800.0,,2025-06-21,0:00储电量
10800.0,,2025-06-21,24:00储电量
63.352343,426.005065,2025-09-23,0:00-4:00
3.347353,4932.700183,2025-09-23,4:00-8:00
1917.294375,3.388967,2025-09-23,8:00-12:00
8313.283122,863.719241,2025-09-23,12:00-16:00
380.341696,5312.117507,2025-09-23,16:00-20:00
6011.220887,3370.601559,2025-09-23,20:00-24:00
7087.417246,,2025-09-23,0:00储电量
7211.220887,,2025-09-23,24:00储电量
3.783421,1226.46143,2025-12-21,0:00-4:00
598.206421,4800.619154,2025-12-21,4:00-8:00
2480.495243,3154.710274,2025-12-21,8:00-12:00
8624.065059,2139.260834,2025-12-21,12:00-16:00
415.186977,6075.755558,2025-12-21,16:00-20:00
6954.428733,2248.083377,2025-12-21,20:00-24:00
10800.0,,2025-12-21,0:00储电量
8048.509603,,2025-12-21,24:00储电量
