开始时间,结束时间,归属日期,日内时段,日初计划购电_kWh,保留原计划执行_kWh,调整增购执行_kWh,调整后普通购电_kWh,相对日初净调整_kWh,紧急购电_kWh,实际外网总购电_kWh,普通电价_元每kWh,原计划执行费_元,调整增购单价_元每kWh,调整增购费_元,紧急单价_元每kWh,紧急购电费_元,本时刻调减总量_kWh,本时刻违约费_元,本段总费用_元,费用标签,弃购电_kWh,购电利用量_kWh
2025-02-01T00:10:00,2025-02-01T00:20:00,2025-02-01,1,1001.2192040214234,1001.2192040214234,0.0,1001.2192040214234,0.0,0.0,1001.2192040214234,0.4248,425.31791786830064,0.6372,0.0,2.124,0.0,0.0,0.0,425.31791786830064,425.32元,0.0,1001.2192040214234
2025-02-01T00:20:00,2025-02-01T00:30:00,2025-02-01,2,1269.708129525176,1269.708129525176,0.0,1269.708129525176,0.0,0.0,1269.708129525176,0.4245,538.9911009834371,0.6367499999999999,0.0,2.1225,0.0,0.0,0.0,538.9911009834371,538.99元,20.96747953517592,1248.74064999
2025-02-01T00:30:00,2025-02-01T00:40:00,2025-02-01,3,436.632359048205,436.632359048205,0.0,436.632359048205,0.0,0.0,436.632359048205,0.4269,186.3983540776787,0.64035,0.0,2.1345,0.0,0.0,0.0,186.3983540776787,186.40元,0.0,436.632359048205
2025-02-01T00:40:00,2025-02-01T00:50:00,2025-02-01,4,457.5029731904826,457.5029731904826,0.0,457.5029731904826,0.0,0.0,457.5029731904826,0.4272,195.44527014697417,0.6408,0.0,2.136,0.0,0.0,0.0,195.44527014697417,195.45元,0.0,457.5029731904826
2025-02-01T00:50:00,2025-02-01T01:00:00,2025-02-01,5,466.51842341893683,466.51842341893683,0.0,466.51842341893683,0.0,0.0,466.51842341893683,0.4271,199.2500186422279,0.6406499999999999,0.0,2.1355,0.0,0.0,0.0,199.2500186422279,199.25元,0.0,466.51842341893683
2025-02-01T01:00:00,2025-02-01T01:10:00,2025-02-01,6,463.4415834096056,463.4415834096056,0.0,463.4415834096056,0.0,0.0,463.4415834096056,0.4285,198.584718491016,0.6427499999999999,0.0,2.1425,0.0,0.0,0.0,198.584718491016,198.58元,0.0,463.4415834096056
2025-02-01T01:10:00,2025-02-01T01:20:00,2025-02-01,7,476.32244757157594,476.32244757157594,0.0,476.32244757157594,0.0,0.0,476.32244757157594,0.4311,205.34260714810637,0.64665,0.0,2.1555,0.0,0.0,0.0,205.34260714810637,205.34元,0.0,476.32244757157594
2025-02-01T01:20:00,2025-02-01T01:30:00,2025-02-01,8,468.86709789903483,468.86709789903483,0.0,468.86709789903483,0.0,0.0,468.86709789903483,0.4302,201.7066255161648,0.6453,0.0,2.1510000000000002,0.0,0.0,0.0,201.7066255161648,201.71元,0.0,468.86709789903483
2025-02-01T01:30:00,2025-02-01T01:40:00,2025-02-01,9,452.5262558182414,452.5262558182414,0.0,452.5262558182414,0.0,0.0,452.5262558182414,0.4279,193.6359848646255,0.64185,0.0,2.1395,0.0,0.0,0.0,193.6359848646255,193.64元,0.0,452.5262558182414
2025-02-01T01:40:00,2025-02-01T01:50:00,2025-02-01,10,477.46070319622567,477.46070319622567,0.0,477.46070319622567,0.0,0.0,477.46070319622567,0.4312,205.8810552182125,0.6468,0.0,2.156,0.0,0.0,0.0,205.8810552182125,205.88元,0.0,477.46070319622567
2025-02-01T01:50:00,2025-02-01T02:00:00,2025-02-01,11,494.00180334468456,494.00180334468456,0.0,494.00180334468456,0.0,0.0,494.00180334468456,0.4333,214.05098138925183,0.64995,0.0,2.1665,0.0,0.0,0.0,214.05098138925183,214.05元,0.0,494.00180334468456
2025-02-01T02:00:00,2025-02-01T02:10:00,2025-02-01,12,486.73893368586994,486.73893368586994,0.0,486.73893368586994,0.0,0.0,486.73893368586994,0.4311,209.83315431197852,0.64665,0.0,2.1555,0.0,0.0,0.0,209.83315431197852,209.83元,0.0,486.73893368586994
2025-02-01T02:10:00,2025-02-01T02:20:00,2025-02-01,13,490.0645575806002,490.0645575806002,0.0,490.0645575806002,0.0,0.0,490.0645575806002,0.4293,210.38471456935167,0.64395,0.0,2.1465,0.0,0.0,0.0,210.38471456935167,210.38元,0.0,490.0645575806002
2025-02-01T02:20:00,2025-02-01T02:30:00,2025-02-01,14,498.11994281851764,498.11994281851764,0.0,498.11994281851764,0.0,0.0,498.11994281851764,0.4324,215.38706327472704,0.6486000000000001,0.0,2.162,0.0,0.0,0.0,215.38706327472704,215.39元,0.0,498.11994281851764
2025-02-01T02:30:00,2025-02-01T02:40:00,2025-02-01,15,499.4546001040474,499.4546001040474,0.0,499.4546001040474,0.0,0.0,499.4546001040474,0.4367,218.1118238654375,0.6550499999999999,0.0,2.1835,0.0,0.0,0.0,218.1118238654375,218.11元,0.0,499.4546001040474
2025-02-01T02:40:00,2025-02-01T02:50:00,2025-02-01,16,492.7778907048412,492.7778907048412,0.0,492.7778907048412,0.0,0.0,492.7778907048412,0.4348,214.25982687846496,0.6522,0.0,2.174,0.0,0.0,0.0,214.25982687846496,214.26元,0.0,492.7778907048412
2025-02-01T02:50:00,2025-02-01T03:00:00,2025-02-01,17,495.9155132628215,495.9155132628215,0.0,495.9155132628215,0.0,0.0,495.9155132628215,0.4335,214.9793749994331,0.65025,0.0,2.1675,0.0,0.0,0.0,214.9793749994331,214.98元,0.0,495.9155132628215
2025-02-01T03:00:00,2025-02-01T03:10:00,2025-02-01,18,508.55270310127014,508.55270310127014,0.0,508.55270310127014,0.0,0.0,508.55270310127014,0.4357,221.57641274122338,0.65355,0.0,2.1784999999999997,0.0,0.0,0.0,221.57641274122338,221.58元,0.0,508.55270310127014
2025-02-01T03:10:00,2025-02-01T03:20:00,2025-02-01,19,512.8085973614035,512.8085973614035,0.0,512.8085973614035,0.0,0.0,512.8085973614035,0.4374,224.30248048587788,0.6561,0.0,2.1870000000000003,0.0,0.0,0.0,224.30248048587788,224.30元,0.0,512.8085973614035
2025-02-01T03:20:00,2025-02-01T03:30:00,2025-02-01,20,511.69235763520555,511.69235763520555,0.0,511.69235763520555,0.0,0.0,511.69235763520555,0.4371,223.66072952234833,0.65565,0.0,2.1854999999999998,0.0,0.0,0.0,223.66072952234833,223.66元,0.0,511.69235763520555
2025-02-01T03:30:00,2025-02-01T03:40:00,2025-02-01,21,506.9093584279571,506.9093584279571,0.0,506.9093584279571,0.0,0.0,506.9093584279571,0.4356,220.8097165312181,0.6534,0.0,2.178,0.0,0.0,0.0,220.8097165312181,220.81元,0.0,506.9093584279571
2025-02-01T03:40:00,2025-02-01T03:50:00,2025-02-01,22,499.02232561722235,499.02232561722235,0.0,499.02232561722235,0.0,0.0,499.02232561722235,0.4353,217.2244183411769,0.65295,0.0,2.1765,0.0,0.0,0.0,217.2244183411769,217.22元,0.0,499.02232561722235
2025-02-01T03:50:00,2025-02-01T04:00:00,2025-02-01,23,509.47473657506293,509.47473657506293,0.0,509.47473657506293,0.0,0.0,509.47473657506293,0.436,222.13098514672743,0.654,0.0,2.18,0.0,0.0,0.0,222.13098514672743,222.13元,0.0,509.47473657506293
2025-02-01T04:00:00,2025-02-01T04:10:00,2025-02-01,24,527.2687994535693,527.2687994535693,0.0,527.2687994535693,0.0,0.0,527.2687994535693,0.4378,230.83828040077265,0.6567000000000001,0.0,2.189,0.0,0.0,0.0,230.83828040077265,230.84元,0.0,527.2687994535693
