调减发生时间,被调减的交付段起点,调减电量_kWh,发生时电价_元每kWh,违约单价_元每kWh,违约费_元
2025-02-01T06:00:00,2025-02-01T06:50:00,159.74344257857138,0.9099,0.45495,72.67527920112106
2025-02-01T06:00:00,2025-02-01T07:00:00,90.37077953801497,0.9099,0.45495,41.11418615081991
2025-02-01T06:00:00,2025-02-01T07:10:00,44.551249731131065,0.9099,0.45495,20.26859106517808
2025-02-01T06:00:00,2025-02-01T07:20:00,24.245210272241252,0.9099,0.45495,11.030358413356158
2025-02-01T06:00:00,2025-02-01T07:30:00,24.121894281180175,0.9099,0.45495,10.97425580322292
2025-02-01T06:00:00,2025-02-01T11:50:00,83.52082207697975,0.9099,0.45495,37.99779800392194
2025-02-01T06:00:00,2025-02-01T15:00:00,44.3239450251815,0.9099,0.45495,20.165178789206326
2025-02-01T06:00:00,2025-02-01T15:10:00,70.31129979868581,0.9099,0.45495,31.98812584341211
2025-02-01T06:00:00,2025-02-01T15:20:00,65.58397129609659,0.9099,0.45495,29.837427741159146
2025-02-01T06:00:00,2025-02-01T15:30:00,60.0851012027201,0.9099,0.45495,27.33571679217751
2025-02-01T06:00:00,2025-02-01T15:40:00,54.69648070943967,0.9099,0.45495,24.884163898759578
2025-02-01T06:00:00,2025-02-01T15:50:00,48.87537309054542,0.9099,0.45495,22.235850987543643
2025-02-01T06:00:00,2025-02-01T16:00:00,5.382768918819352,0.9099,0.45495,2.4488907196168643
2025-02-01T06:00:00,2025-02-01T16:10:00,5.235305149723786,0.9099,0.45495,2.3818020778668365
2025-02-01T06:00:00,2025-02-01T16:20:00,5.091881227695012,0.9099,0.45495,2.316551364539846
2025-02-01T06:00:00,2025-02-01T16:30:00,4.9523864790024845,0.9099,0.45495,2.2530882286221803
2025-02-01T06:00:00,2025-02-01T16:40:00,4.816713261885809,0.9099,0.45495,2.191363698494949
2025-02-01T06:00:00,2025-02-01T16:50:00,4.684756883495936,0.9099,0.45495,2.1313301441464763
2025-02-01T06:00:00,2025-02-01T17:00:00,4.556415519089796,0.9099,0.45495,2.072941240409903
2025-02-01T06:00:00,2025-02-01T17:10:00,4.431590133469115,0.9099,0.45495,2.0161519312217737
2025-02-01T06:00:00,2025-02-01T17:20:00,4.310184404556708,0.9099,0.45495,1.9609183948530742
2025-02-01T06:00:00,2025-02-01T17:30:00,4.192104649068938,0.9099,0.45495,1.9071980100939134
2025-02-01T06:00:00,2025-02-01T17:40:00,4.077259750224698,0.9099,0.45495,1.8549493233647265
2025-02-01T06:00:00,2025-02-01T17:50:00,3.9655610874348213,0.9099,0.45495,1.804132016728472
2025-02-01T06:00:00,2025-02-01T18:00:00,3.8569224679168883,0.9099,0.45495,1.7547068767787883
2025-02-01T06:00:00,2025-02-01T18:20:00,49.13305299596067,0.9099,0.45495,22.353082460512308
2025-02-01T06:00:00,2025-02-01T20:50:00,2.4052343824926083,0.9099,0.45495,1.0942613823150122
2025-02-01T06:00:00,2025-02-01T21:00:00,2.33934172892657,0.9099,0.45495,1.064283519575143
2025-02-01T06:00:00,2025-02-01T21:10:00,2.2752542390589383,0.9099,0.45495,1.035126916059864
2025-02-01T06:00:00,2025-02-01T21:30:00,2.1522982916081332,0.9099,0.45495,0.9791881077671203
2025-02-01T06:00:00,2025-02-01T22:00:00,1.9802100218103078,0.9099,0.45495,0.9008965494225996
2025-02-01T06:00:00,2025-02-01T22:10:00,1.9259611328434403,0.9099,0.45495,0.8762160173871232
2025-02-01T06:00:00,2025-02-01T22:30:00,1.8218811703595748,0.9099,0.45495,0.8288648384550886
2025-02-01T06:00:00,2025-02-01T22:40:00,1.7719697830657424,0.9099,0.45495,0.8061576528057596
