开始时间,日初计划_kWh,保留原计划_kWh,调整增购_kWh,调整后普通购电_kWh,紧急购电_kWh,实际外网总购电_kWh,实际电价_元每kWh,原计划执行费_元,调整增购费_元,紧急购电费_元,本时刻调减违约费_元,本段总费用_元,电费标签,段初SOC_kWh,段末SOC_kWh,弃购电_kWh
2025-01-08T00:10:00,679.6644458333333,679.6644458333333,0.0,679.6644458333333,0.0,679.6644458333333,0.4812,327.054531335,0.0,0.0,0.0,327.054531335,327.05元,10025.668271854174,10066.663868095175,0.0
2025-01-08T00:20:00,1434.92145,1434.92145,0.0,1434.92145,0.0,1434.92145,0.4784,686.46642168,0.0,0.0,0.0,686.46642168,686.47元,10066.663868095175,10770.811778086174,0.0
2025-01-08T00:30:00,776.6855744558725,776.6855744558725,0.0,776.6855744558725,0.0,776.6855744558725,0.4645,360.7704493347528,0.0,0.0,0.0,360.7704493347528,360.77元,10770.811778086174,10799.999999991,118.0825501171769
2025-01-08T00:40:00,730.7937430041147,730.7937430041147,0.0,730.7937430041147,0.0,730.7937430041147,0.3969,290.05203659833313,0.0,0.0,0.0,290.05203659833313,290.05元,10799.999999991,10799.999999991,164.68772632934778
2025-01-08T00:50:00,688.0860041666666,688.0860041666666,0.0,688.0860041666666,0.0,688.0860041666666,0.4084,281.01432410166666,0.0,0.0,0.0,281.01432410166666,281.01元,10799.999999991,10799.999999991,120.91305415856638
2025-01-08T01:00:00,716.4008333333334,716.4008333333334,0.0,716.4008333333334,0.0,716.4008333333334,0.4706,337.1382321666667,0.0,0.0,0.0,337.1382321666667,337.14元,10799.999999991,10799.999999991,96.58416665856643
2025-01-08T01:10:00,720.2767916666666,720.2767916666666,0.0,720.2767916666666,0.0,720.2767916666666,0.4221,304.0288337624999,0.0,0.0,0.0,304.0288337624999,304.03元,10799.999999991,10799.999999991,98.83265832523293
2025-01-08T01:20:00,763.4779582475961,763.4779582475961,0.0,763.4779582475961,0.0,763.4779582475961,0.3854,294.24440510862354,0.0,0.0,0.0,294.24440510862354,294.24元,10799.999999991,10799.999999991,166.0259582394958
2025-01-08T01:30:00,719.40625,719.40625,0.0,719.40625,0.0,719.40625,0.4234,304.59660625,0.0,0.0,0.0,304.59660625,304.60元,10799.999999991,10799.999999991,116.69458332523308
2025-01-08T01:40:00,659.8834583333332,659.8834583333332,0.0,659.8834583333332,0.0,659.8834583333332,0.4695,309.8152836874999,0.0,0.0,0.0,309.8152836874999,309.82元,10799.999999991,10799.999999991,4.225391658566286
2025-01-08T01:50:00,668.8603083333334,668.8603083333334,0.0,668.8603083333334,0.0,668.8603083333334,0.4717,315.50140744083336,0.0,0.0,0.0,315.50140744083336,315.50元,10799.999999991,10799.999999991,17.05589165856643
2025-01-08T02:00:00,740.9454166666667,740.9454166666667,0.0,740.9454166666667,0.0,740.9454166666667,0.4556,337.5747318333334,0.0,0.0,0.0,337.5747318333334,337.57元,10799.999999991,10799.999999991,120.36541665856643
2025-01-08T02:10:00,752.0432875,752.0432875,0.0,752.0432875,0.0,752.0432875,0.4805,361.35679964375,0.0,0.0,0.0,361.35679964375,361.36元,10799.999999991,10799.999999991,67.82745415856638
2025-01-08T02:20:00,766.3335958333334,766.3335958333334,0.0,766.3335958333334,0.0,766.3335958333334,0.4564,349.75465313833337,0.0,0.0,0.0,349.75465313833337,349.75元,10799.999999991,10799.999999991,78.70569582523316
2025-01-08T02:30:00,798.5941666666665,798.5941666666665,0.0,798.5941666666665,0.0,798.5941666666665,0.4154,331.7360168333333,0.0,0.0,0.0,331.7360168333333,331.74元,10799.999999991,10799.999999991,168.9308333252329
2025-01-08T02:40:00,789.4791624999999,789.4791624999999,0.0,789.4791624999999,0.0,789.4791624999999,0.4815,380.13421674374996,0.0,0.0,0.0,380.13421674374996,380.13元,10799.999999991,10799.999999991,121.63006249189968
2025-01-08T02:50:00,774.1787166666667,774.1787166666667,0.0,774.1787166666667,0.0,774.1787166666667,0.5127,396.921428035,0.0,0.0,0.0,396.921428035,396.92元,10799.999999991,10799.999999991,74.60226665856632
2025-01-08T03:00:00,762.8645833333333,762.8645833333333,0.0,762.8645833333333,0.0,762.8645833333333,0.4799,366.0987135416666,0.0,0.0,0.0,366.0987135416666,366.10元,10799.999999991,10799.999999991,84.83624999189962
2025-01-08T03:10:00,735.1451875,735.1451875,0.0,735.1451875,0.0,735.1451875,0.4908,360.809258025,0.0,0.0,0.0,360.809258025,360.81元,10799.999999991,10799.999999991,67.16872082523307
2025-01-08T03:20:00,743.2221166666667,743.2221166666667,0.0,743.2221166666667,0.0,743.2221166666667,0.4817,358.01009359833336,0.0,0.0,0.0,358.01009359833336,358.01元,10799.999999991,10799.999999991,56.914083325233015
2025-01-08T03:30:00,765.0887500000002,765.0887500000002,0.0,765.0887500000002,0.0,765.0887500000002,0.4544,347.65632800000014,0.0,0.0,0.0,347.65632800000014,347.66元,10799.999999991,10799.999999991,52.25374999189987
2025-01-08T03:40:00,728.9174458333334,728.9174458333334,0.0,728.9174458333334,0.0,728.9174458333334,0.488,355.71171356666673,0.0,0.0,0.0,355.71171356666673,355.71元,10799.999999991,10799.999999991,11.421129158566464
2025-01-08T03:50:00,729.5932541666666,729.5932541666666,0.0,729.5932541666666,0.0,729.5932541666666,0.5281,385.29819752541664,0.0,0.0,0.0,385.29819752541664,385.30元,10799.999999991,10799.999999991,5.228787491899629
2025-01-08T04:00:00,776.9512499999997,776.9512499999997,0.0,776.9512499999997,0.0,776.9512499999997,0.5297,411.55107712499984,0.0,0.0,0.0,411.55107712499984,411.55元,10799.999999991,10799.999999991,36.844583325232726
2025-01-08T04:10:00,780.2108083333331,780.2108083333331,0.0,780.2108083333331,0.0,780.2108083333331,0.5001,390.1834252474999,0.0,0.0,0.0,390.1834252474999,390.18元,10799.999999991,10799.999999991,38.582558325232846
2025-01-08T04:20:00,757.1069708333334,757.1069708333334,0.0,757.1069708333334,0.0,757.1069708333334,0.4789,362.57852833208335,0.0,0.0,0.0,362.57852833208335,362.58元,10799.999999991,10799.999999991,43.50723749189988
2025-01-08T04:30:00,753.4979166666667,753.4979166666667,0.0,753.4979166666667,0.0,753.4979166666667,0.4813,362.6585472916667,0.0,0.0,0.0,362.6585472916667,362.66元,10799.999999991,10799.999999991,64.68958332523297
2025-01-08T04:40:00,796.3545375,796.3545375,0.0,796.3545375,0.0,796.3545375,0.4879,388.54137884625,0.0,0.0,0.0,388.54137884625,388.54元,10799.999999991,10799.999999991,80.59127082523307
2025-01-08T04:50:00,839.2081541666668,839.2081541666668,0.0,839.2081541666668,0.0,839.2081541666668,0.4713,395.51880305875005,0.0,0.0,0.0,395.51880305875005,395.52元,10799.999999991,10799.999999991,113.18877082523315
2025-01-08T05:00:00,827.9541666666668,827.9541666666668,0.0,827.9541666666668,0.0,827.9541666666668,0.4602,381.0245075,0.0,0.0,0.0,381.0245075,381.02元,10799.999999991,10799.999999991,127.2208333252332
2025-01-08T05:10:00,754.724806547619,754.724806547619,0.0,754.724806547619,0.0,754.724806547619,0.506,381.89075211309523,0.0,0.0,0.0,381.89075211309523,381.89元,10799.999999991,10799.999999991,66.51132320618544
2025-01-08T05:20:00,745.6712583333332,745.6712583333332,0.0,745.6712583333332,0.0,745.6712583333332,0.5223,389.4640982274999,0.0,0.0,0.0,389.4640982274999,389.46元,10799.999999991,10799.999999991,57.543991658566235
2025-01-08T05:30:00,777.1295833333335,777.1295833333335,0.0,777.1295833333335,0.0,777.1295833333335,0.4762,370.0691075833334,0.0,0.0,0.0,370.0691075833334,370.07元,10799.999999991,10799.999999991,87.09791665856662
2025-01-08T05:40:00,735.8101309523812,735.8101309523812,0.0,735.8101309523812,0.0,735.8101309523812,0.4624,340.23860455238105,0.0,0.0,0.0,340.23860455238105,340.24元,10799.999999991,10799.999999991,30.187447610947597
2025-01-08T05:50:00,865.1728249999998,865.1728249999998,0.0,865.1728249999998,0.0,865.1728249999998,0.7105,614.7052921624999,0.0,0.0,0.0,614.7052921624999,614.71元,10799.999999991,10799.999999991,49.39994165856613
2025-01-08T06:00:00,1100.09625,908.4347083433331,0.0,908.4347083433331,0.0,908.4347083433331,1.0558,959.1253650688911,0.0,0.0,105.48860471526787,1064.613969784159,1064.61元,10799.999999991,10760.925601865074,0.0
2025-01-08T06:10:00,1104.074930952381,1095.90960252898,0.0,1095.90960252898,0.0,1095.90960252898,1.079,1182.4864611287694,0.0,0.0,0.0,1182.4864611287694,1182.49元,10760.925601865074,10799.999999991,131.5381212779513
2025-01-08T06:20:00,1046.96065,1046.96065,0.0,1046.96065,0.0,1046.96065,1.0417,1090.618909105,0.0,0.0,0.0,1090.618909105,1090.62元,10799.999999991,10799.999999991,141.1148999918997
2025-01-08T06:30:00,1059.4212499999999,1059.4212499999999,0.0,1059.4212499999999,0.0,1059.4212499999999,1.0746,1138.45407525,0.0,0.0,0.0,1138.45407525,1138.45元,10799.999999991,10799.999999991,119.96291665856629
2025-01-08T06:40:00,1092.0774720238096,1092.0774720238096,0.0,1092.0774720238096,0.0,1092.0774720238096,1.0517,1148.5378773274406,0.0,0.0,0.0,1148.5378773274406,1148.54元,10799.999999991,10799.999999991,181.0596053490425
2025-01-08T06:50:00,1064.8414958333333,1064.8414958333333,0.0,1064.8414958333333,0.0,1064.8414958333333,1.0356,1102.749853085,0.0,0.0,0.0,1102.749853085,1102.75元,10799.999999991,10799.999999991,166.7260791585663
