调减发生时间,被调减的交付段起点,调减电量_kWh,发生时电价_元每kWh,违约单价_元每kWh,违约费_元
2025-02-01T06:00:00,2025-02-01T06:00:00,29.19956741263303,0.9099,0.45495,13.284343194377398
2025-02-01T06:00:00,2025-02-01T06:20:00,27.55649629073349,0.9099,0.45495,12.536827987469202
2025-02-01T06:00:00,2025-02-01T06:30:00,26.628598173746695,0.9099,0.45495,12.11468073914606
2025-02-01T06:00:00,2025-02-01T06:40:00,26.007774702320603,0.9099,0.45495,11.832237100820759
2025-02-01T06:00:00,2025-02-01T06:50:00,25.21462369383596,0.9099,0.45495,11.47139304951067
2025-02-01T06:00:00,2025-02-01T07:00:00,28.233312383888062,0.9099,0.45495,12.844745469049874
2025-02-01T06:00:00,2025-02-01T07:10:00,27.200257747610976,0.9099,0.45495,12.374757262275613
2025-02-01T06:00:00,2025-02-01T07:20:00,26.15958799342826,0.9099,0.45495,11.901304557610187
2025-02-01T06:00:00,2025-02-01T07:30:00,32.53695606783185,0.9099,0.45495,14.802688163060102
2025-02-01T06:00:00,2025-02-01T07:40:00,39.726976274429944,0.9099,0.45495,18.073787856051904
2025-02-01T06:00:00,2025-02-01T15:00:00,94.36445593152072,0.9099,0.45495,42.93110922604536
2025-02-01T06:00:00,2025-02-01T15:10:00,134.90081782635298,0.9099,0.45495,61.37312707009929
2025-02-01T06:00:00,2025-02-01T15:20:00,94.74026040535875,0.9099,0.45495,43.10208147141797
2025-02-01T06:00:00,2025-02-01T15:30:00,95.01353917258535,0.9099,0.45495,43.22640964656771
2025-02-01T06:00:00,2025-02-01T15:40:00,95.28264883542363,0.9099,0.45495,43.34884108767598
2025-02-01T06:00:00,2025-02-01T15:50:00,95.59202896046952,0.9099,0.45495,43.48959357556561
2025-02-01T06:00:00,2025-02-01T16:00:00,15.851550816904876,0.9099,0.45495,7.211663044150874
2025-02-01T06:00:00,2025-02-01T16:10:00,16.170595841762065,0.9099,0.45495,7.356812578209651
2025-02-01T06:00:00,2025-02-01T16:20:00,16.478652996220887,0.9099,0.45495,7.496963180630693
2025-02-01T06:00:00,2025-02-01T16:30:00,16.791142330415823,0.9099,0.45495,7.639130203222679
2025-02-01T06:00:00,2025-02-01T16:40:00,17.100608138505834,0.9099,0.45495,7.779921672613229
2025-02-01T06:00:00,2025-02-01T16:50:00,17.39189832609759,0.9099,0.45495,7.9124441434580985
2025-02-01T06:00:00,2025-02-01T17:00:00,4.125425464715363,0.9099,0.45495,1.8768623151722545
2025-02-01T06:00:00,2025-02-01T17:10:00,4.3326872518353525,0.9099,0.45495,1.9711560652224938
2025-02-01T06:00:00,2025-02-01T17:20:00,4.31018440455648,0.9099,0.45495,1.960918394852971
2025-02-01T06:00:00,2025-02-01T17:30:00,4.192104649068938,0.9099,0.45495,1.9071980100939134
2025-02-01T06:00:00,2025-02-01T17:40:00,4.071353575458431,0.9099,0.45495,1.8522623091548134
2025-02-01T06:00:00,2025-02-01T17:50:00,3.9655610874348213,0.9099,0.45495,1.804132016728472
2025-02-01T06:00:00,2025-02-01T21:00:00,2.33934172892657,0.9099,0.45495,1.064283519575143
2025-02-01T06:00:00,2025-02-01T21:10:00,2.2752542390589383,0.9099,0.45495,1.035126916059864
2025-02-01T06:00:00,2025-02-01T21:20:00,2.2129224594867196,0.9099,0.45495,1.006769072943483
2025-02-01T06:00:00,2025-02-01T21:30:00,2.1522982916081332,0.9099,0.45495,0.9791881077671203
2025-02-01T06:00:00,2025-02-01T21:40:00,349.29443303997937,0.9099,0.45495,158.9115023115386
2025-02-01T06:00:00,2025-02-01T22:00:00,1.9802100218103078,0.9099,0.45495,0.9008965494225996
2025-02-01T06:00:00,2025-02-01T22:10:00,1.9259611328434403,0.9099,0.45495,0.8762160173871232
2025-02-01T06:00:00,2025-02-01T22:30:00,1.8218811703595748,0.9099,0.45495,0.8288648384550886
2025-02-01T06:00:00,2025-02-01T22:40:00,1.7719697830657424,0.9099,0.45495,0.8061576528057596
2025-02-01T06:00:00,2025-02-01T22:50:00,1.723425744324686,0.9099,0.45495,0.7840725423805159
2025-02-01T06:00:00,2025-02-01T23:00:00,1.676211594907727,0.9099,0.45495,0.7625924651032704
2025-02-01T06:00:00,2025-02-01T23:20:00,1.585628230094244,0.9099,0.45495,0.7213815632813763
2025-02-01T06:00:00,2025-02-01T23:30:00,1.5421891156317997,0.9099,0.45495,0.7016189381566873
2025-02-01T06:00:00,2025-02-01T23:40:00,1.4999400384235742,0.9099,0.45495,0.682397720480805
2025-02-01T12:00:00,2025-02-01T16:40:00,9.829230414235212,0.4432,0.2216,2.178157459794523
2025-02-01T12:00:00,2025-02-01T16:50:00,7.105241763109063,0.4432,0.2216,1.5745215747049683
