日期,时间段,购电量
2025-03-20,10:00-10:10,45.207083
2025-03-20,12:00-12:10,466.999729
2025-03-20,14:00-14:10,43.021381
2025-03-20,16:00-16:10,656.076829
2025-03-20,18:00-18:10,635.624702
2025-03-20,20:00-20:10,638.565417
2025-03-20,全天购电量,66687.065532
2025-03-20,全天购电费,78868.325724
2025-06-21,10:00-10:10,0.0
2025-06-21,12:00-12:10,0.0
2025-06-21,14:00-14:10,0.0
2025-06-21,16:00-16:10,557.649526
2025-06-21,18:00-18:10,759.078576
2025-06-21,20:00-20:10,26.107976
2025-06-21,全天购电量,49624.933717
2025-06-21,全天购电费,27775.484941
2025-09-23,10:00-10:10,0.0
2025-09-23,12:00-12:10,360.245257
2025-09-23,14:00-14:10,0.0
2025-09-23,16:00-16:10,731.645081
2025-09-23,18:00-18:10,734.296667
2025-09-23,20:00-20:10,61.911667
2025-09-23,全天购电量,66817.669548
2025-09-23,全天购电费,78636.34554
2025-12-21,10:00-10:10,360.307083
2025-12-21,12:00-12:10,887.183595
2025-12-21,14:00-14:10,0.0
2025-12-21,16:00-16:10,1671.058662
2025-12-21,18:00-18:10,641.204405
2025-12-21,20:00-20:10,30.268333
2025-12-21,全天购电量,92492.949722
2025-12-21,全天购电费,126774.155648
